# [TIME],[VOLT],[VOLT filtered 1kHz] 
# 
-2.999999999999999889e-02,-1.104000000000000092e+00,-1.104194750126598734e+00
-2.994999999999999746e-02,-8.279999999999999583e-01,-1.098632617669760503e+00
-2.989999999999999949e-02,-9.199999999999999289e-01,-1.095562314582780639e+00
-2.984999999999999806e-02,-1.195999999999999952e+00,-1.096403111401612840e+00
-2.980000000000000010e-02,-1.195999999999999952e+00,-1.101540198608127463e+00
-2.974999999999999867e-02,-9.199999999999999289e-01,-1.111240019018145953e+00
-2.969999999999999724e-02,-9.199999999999999289e-01,-1.125655094575264803e+00
-2.964999999999999927e-02,-1.288000000000000034e+00,-1.144089216743534809e+00
-2.959999999999999784e-02,-1.104000000000000092e+00,-1.164971616897966022e+00
-2.954999999999999988e-02,-1.288000000000000034e+00,-1.186547252117550633e+00
-2.949999999999999845e-02,-1.471999999999999975e+00,-1.207485524638514329e+00
-2.945000000000000048e-02,-1.104000000000000092e+00,-1.227364173995360463e+00
-2.939999999999999905e-02,-1.379999999999999893e+00,-1.246750005341673573e+00
-2.934999999999999762e-02,-1.104000000000000092e+00,-1.266706722199808510e+00
-2.929999999999999966e-02,-1.104000000000000092e+00,-1.288131643618332767e+00
-2.924999999999999822e-02,-1.471999999999999975e+00,-1.311203230353138238e+00
-2.920000000000000026e-02,-1.195999999999999952e+00,-1.335396035902938872e+00
-2.914999999999999883e-02,-1.564000000000000057e+00,-1.360003353287036365e+00
-2.909999999999999740e-02,-1.195999999999999952e+00,-1.384475917239746945e+00
-2.904999999999999943e-02,-1.564000000000000057e+00,-1.408408494349976836e+00
-2.899999999999999800e-02,-1.288000000000000034e+00,-1.431411388148928099e+00
-2.895000000000000004e-02,-1.655999999999999917e+00,-1.453103015868221437e+00
-2.889999999999999861e-02,-1.564000000000000057e+00,-1.473401089956950294e+00
-2.885000000000000064e-02,-1.288000000000000034e+00,-1.492825488140642198e+00
-2.879999999999999921e-02,-1.379999999999999893e+00,-1.512059960063776742e+00
-2.874999999999999778e-02,-1.747999999999999998e+00,-1.531174651644749751e+00
-2.869999999999999982e-02,-1.379999999999999893e+00,-1.549721500164456423e+00
-2.864999999999999838e-02,-1.747999999999999998e+00,-1.567296307141505807e+00
-2.860000000000000042e-02,-1.471999999999999975e+00,-1.583701297149753273e+00
-2.854999999999999899e-02,-1.747999999999999998e+00,-1.598942844553154163e+00
-2.849999999999999756e-02,-1.471999999999999975e+00,-1.613239944170991258e+00
-2.844999999999999959e-02,-1.747999999999999998e+00,-1.626927602780807947e+00
-2.839999999999999816e-02,-1.471999999999999975e+00,-1.640311292088440176e+00
-2.835000000000000020e-02,-1.747999999999999998e+00,-1.653527682665427267e+00
-2.829999999999999877e-02,-1.564000000000000057e+00,-1.666467143944082352e+00
-2.824999999999999734e-02,-1.839999999999999858e+00,-1.678872741299887839e+00
-2.819999999999999937e-02,-1.564000000000000057e+00,-1.690558477119688652e+00
-2.814999999999999794e-02,-1.839999999999999858e+00,-1.701516830534273383e+00
-2.809999999999999998e-02,-1.564000000000000057e+00,-1.711859068161867503e+00
-2.804999999999999855e-02,-1.839999999999999858e+00,-1.721704418179828222e+00
-2.799999999999999711e-02,-1.564000000000000057e+00,-1.731075403876296548e+00
-2.794999999999999915e-02,-1.839999999999999858e+00,-1.739798663565385928e+00
-2.789999999999999772e-02,-1.931999999999999940e+00,-1.747642961889089408e+00
-2.784999999999999976e-02,-1.564000000000000057e+00,-1.754753300734005705e+00
-2.779999999999999832e-02,-1.655999999999999917e+00,-1.761571258101362503e+00
-2.774999999999999689e-02,-1.931999999999999940e+00,-1.768182638498588588e+00
-2.769999999999999893e-02,-1.655999999999999917e+00,-1.774248436980261134e+00
-2.764999999999999750e-02,-1.931999999999999940e+00,-1.779460742611099766e+00
-2.759999999999999953e-02,-1.655999999999999917e+00,-1.783714684456864985e+00
-2.754999999999999810e-02,-1.931999999999999940e+00,-1.787056511474487630e+00
-2.750000000000000014e-02,-1.564000000000000057e+00,-1.789582697263015776e+00
-2.744999999999999871e-02,-1.931999999999999940e+00,-1.791232253756181780e+00
-2.739999999999999727e-02,-1.931999999999999940e+00,-1.791819477015659245e+00
-2.734999999999999931e-02,-1.655999999999999917e+00,-1.791481148558025316e+00
-2.729999999999999788e-02,-1.931999999999999940e+00,-1.790843512878634858e+00
-2.724999999999999992e-02,-1.655999999999999917e+00,-1.790733240246749514e+00
-2.719999999999999848e-02,-1.655999999999999917e+00,-1.791832534678184929e+00
-2.715000000000000052e-02,-1.931999999999999940e+00,-1.794329662258714375e+00
-2.709999999999999909e-02,-1.655999999999999917e+00,-1.797906942530746122e+00
-2.704999999999999766e-02,-1.931999999999999940e+00,-1.802064368972401187e+00
-2.699999999999999969e-02,-1.655999999999999917e+00,-1.806259703473605871e+00
-2.694999999999999826e-02,-1.931999999999999940e+00,-1.809869371184196885e+00
-2.690000000000000030e-02,-1.747999999999999998e+00,-1.812207241304484961e+00
-2.684999999999999887e-02,-1.931999999999999940e+00,-1.812665332087777914e+00
-2.679999999999999744e-02,-1.931999999999999940e+00,-1.810982636194668371e+00
-2.674999999999999947e-02,-1.655999999999999917e+00,-1.807473257086152474e+00
-2.669999999999999804e-02,-1.931999999999999940e+00,-1.802868185995370576e+00
-2.665000000000000008e-02,-1.655999999999999917e+00,-1.797941929423089613e+00
-2.659999999999999865e-02,-1.655999999999999917e+00,-1.793207801039440108e+00
-2.654999999999999721e-02,-1.931999999999999940e+00,-1.788617759546106134e+00
-2.649999999999999925e-02,-1.931999999999999940e+00,-1.783783861053924502e+00
-2.644999999999999782e-02,-1.564000000000000057e+00,-1.778662837054930668e+00
-2.639999999999999986e-02,-1.931999999999999940e+00,-1.773604952200881657e+00
-2.634999999999999842e-02,-1.655999999999999917e+00,-1.768940905960201482e+00
-2.629999999999999699e-02,-1.564000000000000057e+00,-1.764741771888052257e+00
-2.624999999999999903e-02,-1.931999999999999940e+00,-1.760518422026272622e+00
-2.619999999999999760e-02,-1.931999999999999940e+00,-1.755381957016600269e+00
-2.614999999999999963e-02,-1.564000000000000057e+00,-1.748842831029611800e+00
-2.609999999999999820e-02,-1.931999999999999940e+00,-1.741038573843434856e+00
-2.604999999999999677e-02,-1.564000000000000057e+00,-1.732336032154118133e+00
-2.599999999999999881e-02,-1.839999999999999858e+00,-1.723118761778572150e+00
-2.595000000000000084e-02,-1.564000000000000057e+00,-1.713699090925487445e+00
-2.589999999999999941e-02,-1.839999999999999858e+00,-1.704235721171978968e+00
-2.584999999999999798e-02,-1.564000000000000057e+00,-1.694769854305214318e+00
-2.579999999999999655e-02,-1.839999999999999858e+00,-1.685320208200941305e+00
-2.574999999999999858e-02,-1.564000000000000057e+00,-1.675978170948514645e+00
-2.570000000000000062e-02,-1.471999999999999975e+00,-1.666770993473870144e+00
-2.564999999999999919e-02,-1.839999999999999858e+00,-1.657234931217331342e+00
-2.559999999999999776e-02,-1.747999999999999998e+00,-1.646510222589422368e+00
-2.554999999999999979e-02,-1.471999999999999975e+00,-1.634019950853949910e+00
-2.549999999999999836e-02,-1.839999999999999858e+00,-1.619638719975383445e+00
-2.545000000000000040e-02,-1.471999999999999975e+00,-1.603471817236205244e+00
-2.539999999999999897e-02,-1.747999999999999998e+00,-1.585883675301939855e+00
-2.534999999999999754e-02,-1.379999999999999893e+00,-1.567485140268852772e+00
-2.529999999999999957e-02,-1.655999999999999917e+00,-1.548902368221220627e+00
-2.524999999999999814e-02,-1.379999999999999893e+00,-1.530553799172190699e+00
-2.520000000000000018e-02,-1.655999999999999917e+00,-1.512603604402818602e+00
-2.514999999999999875e-02,-1.379999999999999893e+00,-1.495087630947716129e+00
-2.509999999999999731e-02,-1.564000000000000057e+00,-1.478035983141062326e+00
-2.504999999999999935e-02,-1.195999999999999952e+00,-1.461359831124542152e+00
-2.499999999999999792e-02,-1.655999999999999917e+00,-1.444560571048889575e+00
-2.494999999999999996e-02,-1.379999999999999893e+00,-1.426784417564741947e+00
-2.489999999999999852e-02,-1.564000000000000057e+00,-1.407342887371417106e+00
-2.484999999999999709e-02,-1.288000000000000034e+00,-1.386068706389634642e+00
-2.479999999999999913e-02,-1.195999999999999952e+00,-1.363049412316912790e+00
-2.474999999999999770e-02,-1.564000000000000057e+00,-1.338088825014581928e+00
-2.469999999999999973e-02,-1.471999999999999975e+00,-1.310881802163298637e+00
-2.464999999999999830e-02,-1.104000000000000092e+00,-1.281787658652644657e+00
-2.459999999999999687e-02,-1.379999999999999893e+00,-1.251870691099721045e+00
-2.454999999999999891e-02,-1.012000000000000011e+00,-1.222261846248810846e+00
-2.449999999999999747e-02,-1.379999999999999893e+00,-1.193817624375772102e+00
-2.444999999999999951e-02,-1.012000000000000011e+00,-1.167182270224319529e+00
-2.439999999999999808e-02,-1.012000000000000011e+00,-1.142781454889123527e+00
-2.434999999999999665e-02,-1.288000000000000034e+00,-1.120567423353418413e+00
-2.429999999999999868e-02,-9.199999999999999289e-01,-1.100033330161533929e+00
-2.425000000000000072e-02,-1.195999999999999952e+00,-1.080497171626329855e+00
-2.419999999999999929e-02,-1.195999999999999952e+00,-1.061311837088903864e+00
-2.414999999999999786e-02,-9.199999999999999289e-01,-1.042180659453340485e+00
-2.409999999999999989e-02,-8.279999999999999583e-01,-1.023062665324392162e+00
-2.404999999999999846e-02,-1.195999999999999952e+00,-1.003497412096498342e+00
-2.400000000000000050e-02,-1.104000000000000092e+00,-9.826261008059098412e-01
-2.394999999999999907e-02,-8.279999999999999583e-01,-9.599713497985313815e-01
-2.389999999999999764e-02,-1.104000000000000092e+00,-9.356496096928098583e-01
-2.384999999999999967e-02,-7.359999999999999876e-01,-9.100199544998298640e-01
-2.379999999999999824e-02,-1.012000000000000011e+00,-8.834641421324780364e-01
-2.375000000000000028e-02,-7.359999999999999876e-01,-8.562954377443168230e-01
-2.369999999999999885e-02,-1.012000000000000011e+00,-8.287928172623479917e-01
-2.364999999999999741e-02,-6.440000000000000169e-01,-8.013572268659155950e-01
-2.359999999999999945e-02,-9.199999999999999289e-01,-7.745548724413242603e-01
-2.354999999999999802e-02,-4.599999999999999645e-01,-7.489275704451013871e-01
-2.350000000000000006e-02,-6.440000000000000169e-01,-7.245075588329735750e-01
-2.344999999999999862e-02,-9.199999999999999289e-01,-7.004387643687102205e-01
-2.339999999999999719e-02,-5.520000000000000462e-01,-6.754004053932129992e-01
-2.334999999999999923e-02,-9.199999999999999289e-01,-6.483765475647482734e-01
-2.329999999999999780e-02,-7.359999999999999876e-01,-6.191445910703311517e-01
-2.324999999999999983e-02,-3.679999999999999938e-01,-5.884904542842273045e-01
-2.319999999999999840e-02,-6.440000000000000169e-01,-5.577466039453626845e-01
-2.314999999999999697e-02,-3.679999999999999938e-01,-5.279944969566935375e-01
-2.309999999999999901e-02,-3.679999999999999938e-01,-4.996741949471298350e-01
-2.304999999999999757e-02,-6.440000000000000169e-01,-4.724765174139648471e-01
-2.299999999999999961e-02,-5.520000000000000462e-01,-4.457452806809181212e-01
-2.294999999999999818e-02,-2.760000000000000231e-01,-4.192171355109093889e-01
-2.289999999999999675e-02,-2.760000000000000231e-01,-3.929447205054384384e-01
-2.284999999999999878e-02,-5.520000000000000462e-01,-3.666376004830023128e-01
-2.279999999999999735e-02,-4.599999999999999645e-01,-3.398123720241662538e-01
-2.274999999999999939e-02,-9.199999999999999845e-02,-3.124648125864798454e-01
-2.269999999999999796e-02,-4.599999999999999645e-01,-2.849926759718854341e-01
-2.264999999999999653e-02,-9.199999999999999845e-02,-2.577167140667411260e-01
-2.259999999999999856e-02,-3.679999999999999938e-01,-2.308083466932159822e-01
-2.255000000000000060e-02,-9.199999999999999845e-02,-2.043896833073768349e-01
-2.249999999999999917e-02,-2.760000000000000231e-01,-1.785722357746896416e-01
-2.244999999999999774e-02,0.000000000000000000e+00,-1.534328987525919452e-01
-2.239999999999999977e-02,-2.760000000000000231e-01,-1.289261964615872336e-01
-2.234999999999999834e-02,0.000000000000000000e+00,-1.049060381099770067e-01
-2.230000000000000038e-02,9.199999999999999845e-02,-8.108375560577585350e-02
-2.224999999999999895e-02,-2.760000000000000231e-01,-5.675053017983642395e-02
-2.219999999999999751e-02,-1.839999999999999969e-01,-3.102066527050903813e-02
-2.214999999999999608e-02,1.839999999999999969e-01,-3.601614068682073427e-03
-2.209999999999999812e-02,-9.199999999999999845e-02,2.517707994446718653e-02
-2.205000000000000016e-02,1.839999999999999969e-01,5.495741504539945754e-02
-2.199999999999999872e-02,-9.199999999999999845e-02,8.552801820154985746e-02
-2.194999999999999729e-02,1.839999999999999969e-01,1.165834083194832449e-01
-2.189999999999999933e-02,0.000000000000000000e+00,1.474757810580113737e-01
-2.184999999999999790e-02,3.679999999999999938e-01,1.771950705218652000e-01
-2.179999999999999993e-02,3.679999999999999938e-01,2.048153392132188999e-01
-2.174999999999999850e-02,9.199999999999999845e-02,2.301261231273732388e-01
-2.169999999999999707e-02,3.679999999999999938e-01,2.536448583117115185e-01
-2.164999999999999911e-02,9.199999999999999845e-02,2.760703022853677746e-01
-2.159999999999999767e-02,4.599999999999999645e-01,2.979266498205053737e-01
-2.154999999999999971e-02,1.839999999999999969e-01,3.195666769917637762e-01
-2.149999999999999828e-02,5.520000000000000462e-01,3.413550485736592810e-01
-2.144999999999999685e-02,1.839999999999999969e-01,3.638537423024441053e-01
-2.139999999999999888e-02,2.760000000000000231e-01,3.876578387388905367e-01
-2.135000000000000092e-02,5.520000000000000462e-01,4.129347062814762714e-01
-2.129999999999999949e-02,2.760000000000000231e-01,4.393572098927721048e-01
-2.124999999999999806e-02,6.440000000000000169e-01,4.664295954662547317e-01
-2.119999999999999662e-02,3.679999999999999938e-01,4.936869784829376884e-01
-2.114999999999999866e-02,7.359999999999999876e-01,5.208302798904596020e-01
-2.110000000000000070e-02,3.679999999999999938e-01,5.478584662929091298e-01
-2.104999999999999927e-02,7.359999999999999876e-01,5.750268640497325778e-01
-2.099999999999999784e-02,3.679999999999999938e-01,6.026317674098655708e-01
-2.094999999999999640e-02,8.279999999999999583e-01,6.307934296831660959e-01
-2.089999999999999844e-02,4.599999999999999645e-01,6.594091223556146630e-01
-2.085000000000000048e-02,8.279999999999999583e-01,6.882174301235911562e-01
-2.079999999999999905e-02,5.520000000000000462e-01,7.168009175514481468e-01
-2.074999999999999761e-02,9.199999999999999289e-01,7.445876425400421716e-01
-2.069999999999999618e-02,9.199999999999999289e-01,7.711450001852138136e-01
-2.064999999999999822e-02,6.440000000000000169e-01,7.966544573675886642e-01
-2.060000000000000026e-02,6.440000000000000169e-01,8.217012700999453134e-01
-2.054999999999999882e-02,1.012000000000000011e+00,8.464362737897018762e-01
-2.049999999999999739e-02,1.104000000000000092e+00,8.706123869082664779e-01
-2.044999999999999596e-02,7.359999999999999876e-01,8.945519848298022492e-01
-2.039999999999999800e-02,7.359999999999999876e-01,9.192491598575497358e-01
-2.035000000000000003e-02,1.012000000000000011e+00,9.453716764485371460e-01
-2.029999999999999860e-02,8.279999999999999583e-01,9.727198106197754157e-01
-2.024999999999999717e-02,1.195999999999999952e+00,1.000543084125631976e+00
-2.019999999999999921e-02,9.199999999999999289e-01,1.028021011542490593e+00
-2.014999999999999777e-02,1.195999999999999952e+00,1.054565844077667292e+00
-2.009999999999999981e-02,9.199999999999999289e-01,1.079838326582018837e+00
-2.004999999999999838e-02,1.288000000000000034e+00,1.103598018924045077e+00
-1.999999999999999695e-02,1.012000000000000011e+00,1.125681639301107539e+00
-1.994999999999999898e-02,1.288000000000000034e+00,1.146111957824035521e+00
-1.989999999999999755e-02,1.288000000000000034e+00,1.165280477337136800e+00
-1.984999999999999959e-02,1.012000000000000011e+00,1.184144895093053540e+00
-1.979999999999999816e-02,1.012000000000000011e+00,1.203857830734865741e+00
-1.974999999999999672e-02,1.379999999999999893e+00,1.224934768216146441e+00
-1.969999999999999876e-02,1.012000000000000011e+00,1.247053105051569855e+00
-1.965000000000000080e-02,1.471999999999999975e+00,1.269420274793989556e+00
-1.959999999999999937e-02,1.471999999999999975e+00,1.291249471440885754e+00
-1.954999999999999793e-02,1.104000000000000092e+00,1.312348557365137003e+00
-1.949999999999999650e-02,1.564000000000000057e+00,1.333190669117547023e+00
-1.944999999999999854e-02,1.104000000000000092e+00,1.354468099217620569e+00
-1.940000000000000058e-02,1.288000000000000034e+00,1.376647661087518237e+00
-1.934999999999999915e-02,1.564000000000000057e+00,1.399580666272007168e+00
-1.929999999999999771e-02,1.288000000000000034e+00,1.422627644332843388e+00
-1.924999999999999628e-02,1.655999999999999917e+00,1.445182957745243080e+00
-1.919999999999999832e-02,1.288000000000000034e+00,1.466908808910862838e+00
-1.915000000000000036e-02,1.655999999999999917e+00,1.487683556064479662e+00
-1.909999999999999892e-02,1.379999999999999893e+00,1.507499429791578249e+00
-1.904999999999999749e-02,1.655999999999999917e+00,1.526427105089418257e+00
-1.899999999999999606e-02,1.379999999999999893e+00,1.544589527225369574e+00
-1.894999999999999810e-02,1.655999999999999917e+00,1.562028695591272554e+00
-1.890000000000000013e-02,1.471999999999999975e+00,1.578580555007462305e+00
-1.884999999999999870e-02,1.747999999999999998e+00,1.593931775808623108e+00
-1.879999999999999727e-02,1.747999999999999998e+00,1.607975504148247081e+00
-1.874999999999999584e-02,1.471999999999999975e+00,1.621236012834636364e+00
-1.869999999999999787e-02,1.471999999999999975e+00,1.634609035236540775e+00
-1.864999999999999991e-02,1.839999999999999858e+00,1.648587387793412740e+00
-1.859999999999999848e-02,1.471999999999999975e+00,1.663123927355063758e+00
-1.854999999999999705e-02,1.839999999999999858e+00,1.678011857635468340e+00
-1.849999999999999908e-02,1.564000000000000057e+00,1.693028789595480310e+00
-1.844999999999999765e-02,1.839999999999999858e+00,1.707961628144818444e+00
-1.839999999999999969e-02,1.564000000000000057e+00,1.722630114032535520e+00
-1.834999999999999826e-02,1.839999999999999858e+00,1.736795330373078983e+00
-1.829999999999999682e-02,1.655999999999999917e+00,1.750071164280555314e+00
-1.824999999999999886e-02,1.931999999999999940e+00,1.762015147613776866e+00
-1.820000000000000090e-02,1.655999999999999917e+00,1.772344246811545565e+00
-1.814999999999999947e-02,1.931999999999999940e+00,1.781047535721314468e+00
-1.809999999999999803e-02,1.655999999999999917e+00,1.788340174346249256e+00
-1.804999999999999660e-02,1.931999999999999940e+00,1.794574751327222328e+00
-1.799999999999999864e-02,1.655999999999999917e+00,1.800166129373639734e+00
-1.795000000000000068e-02,1.931999999999999940e+00,1.805526623907482975e+00
-1.789999999999999925e-02,1.655999999999999917e+00,1.811007666577319153e+00
-1.784999999999999781e-02,1.931999999999999940e+00,1.816844098304261745e+00
-1.779999999999999638e-02,1.655999999999999917e+00,1.823097835922481869e+00
-1.774999999999999842e-02,1.931999999999999940e+00,1.829598832798125185e+00
-1.770000000000000046e-02,1.931999999999999940e+00,1.836056581939418120e+00
-1.764999999999999902e-02,1.747999999999999998e+00,1.842401169835600871e+00
-1.759999999999999759e-02,1.747999999999999998e+00,1.848776506624841165e+00
-1.754999999999999616e-02,1.931999999999999940e+00,1.855070753806327133e+00
-1.749999999999999820e-02,1.747999999999999998e+00,1.860737020093630179e+00
-1.745000000000000023e-02,2.024000000000000021e+00,1.865022069200749311e+00
-1.739999999999999880e-02,1.747999999999999998e+00,1.867202384705631601e+00
-1.734999999999999737e-02,2.116000000000000103e+00,1.866776125429131516e+00
-1.729999999999999594e-02,1.931999999999999940e+00,1.863790860308355946e+00
-1.724999999999999797e-02,1.655999999999999917e+00,1.859079050884544282e+00
-1.720000000000000001e-02,1.747999999999999998e+00,1.853705319997553058e+00
-1.714999999999999858e-02,2.024000000000000021e+00,1.848140634595565990e+00
-1.709999999999999715e-02,1.931999999999999940e+00,1.842487582772816657e+00
-1.704999999999999571e-02,1.655999999999999917e+00,1.837230149121155787e+00
-1.699999999999999775e-02,1.655999999999999917e+00,1.832998871543071617e+00
-1.694999999999999979e-02,2.024000000000000021e+00,1.829752698234863528e+00
-1.689999999999999836e-02,1.931999999999999940e+00,1.826937486901041519e+00
-1.684999999999999692e-02,1.655999999999999917e+00,1.824331471005511185e+00
-1.679999999999999896e-02,1.747999999999999998e+00,1.822016844816568781e+00
-1.674999999999999753e-02,1.931999999999999940e+00,1.819711274354308461e+00
-1.669999999999999957e-02,1.747999999999999998e+00,1.816734750126319797e+00
-1.664999999999999813e-02,1.931999999999999940e+00,1.812441214844502380e+00
-1.659999999999999670e-02,1.931999999999999940e+00,1.806541055319949018e+00
-1.654999999999999874e-02,1.655999999999999917e+00,1.799319336848196782e+00
-1.650000000000000078e-02,1.931999999999999940e+00,1.791520163618245620e+00
-1.644999999999999934e-02,1.655999999999999917e+00,1.784010594870055533e+00
-1.639999999999999791e-02,1.655999999999999917e+00,1.777507611131998511e+00
-1.634999999999999648e-02,1.931999999999999940e+00,1.772302921441789358e+00
-1.629999999999999852e-02,1.564000000000000057e+00,1.768269072456749580e+00
-1.625000000000000056e-02,1.931999999999999940e+00,1.765086035289235467e+00
-1.619999999999999912e-02,1.564000000000000057e+00,1.762283405376617651e+00
-1.614999999999999769e-02,1.931999999999999940e+00,1.759216939630438681e+00
-1.609999999999999626e-02,1.564000000000000057e+00,1.755099998591703958e+00
-1.604999999999999830e-02,1.931999999999999940e+00,1.749038359795621389e+00
-1.600000000000000033e-02,1.931999999999999940e+00,1.740307575258713157e+00
-1.594999999999999890e-02,1.564000000000000057e+00,1.728880475588312704e+00
-1.589999999999999747e-02,1.839999999999999858e+00,1.715457300194111356e+00
-1.584999999999999604e-02,1.564000000000000057e+00,1.700940717231186117e+00
-1.579999999999999807e-02,1.839999999999999858e+00,1.686161342857074086e+00
-1.575000000000000011e-02,1.471999999999999975e+00,1.671903916013987912e+00
-1.569999999999999868e-02,1.471999999999999975e+00,1.658647057472272035e+00
-1.564999999999999725e-02,1.839999999999999858e+00,1.646067884341702703e+00
-1.559999999999999755e-02,1.747999999999999998e+00,1.633292745231883947e+00
-1.554999999999999785e-02,1.471999999999999975e+00,1.619780347183242597e+00
-1.549999999999999815e-02,1.747999999999999998e+00,1.605510884312126407e+00
-1.544999999999999846e-02,1.471999999999999975e+00,1.590601379617914812e+00
-1.539999999999999876e-02,1.747999999999999998e+00,1.575217247027027367e+00
-1.534999999999999733e-02,1.379999999999999893e+00,1.559663624763826917e+00
-1.529999999999999763e-02,1.379999999999999893e+00,1.544133632587375349e+00
-1.524999999999999793e-02,1.747999999999999998e+00,1.528227465393907858e+00
-1.519999999999999823e-02,1.379999999999999893e+00,1.511052813811609496e+00
-1.514999999999999854e-02,1.564000000000000057e+00,1.491736555009768317e+00
-1.509999999999999884e-02,1.655999999999999917e+00,1.469659819998356376e+00
-1.504999999999999741e-02,1.288000000000000034e+00,1.444655473045135974e+00
-1.499999999999999771e-02,1.564000000000000057e+00,1.417057520567127415e+00
-1.494999999999999801e-02,1.288000000000000034e+00,1.387430308179104399e+00
