# [TIME],[VOLT],[VOLT filtered 1kHz] 
# 
-2.999999999999999889e-02,-2.759999999999999787e+00,-2.749437061822264106e+00
-2.994999999999999746e-02,-3.128000000000000114e+00,-2.891473551911793116e+00
-2.989999999999999949e-02,-2.943999999999999950e+00,-3.030591331375595221e+00
-2.984999999999999806e-02,-3.403999999999999915e+00,-3.164520318289055556e+00
-2.980000000000000010e-02,-3.219999999999999751e+00,-3.291823116063714139e+00
-2.974999999999999867e-02,-3.588000000000000078e+00,-3.411827492577297338e+00
-2.969999999999999724e-02,-3.403999999999999915e+00,-3.524505967952161978e+00
-2.964999999999999927e-02,-3.771999999999999797e+00,-3.630252022820629421e+00
-2.959999999999999784e-02,-3.495999999999999996e+00,-3.729612187683794211e+00
-2.954999999999999988e-02,-3.955999999999999961e+00,-3.822971401944856407e+00
-2.949999999999999845e-02,-3.771999999999999797e+00,-3.910361300775155868e+00
-2.945000000000000048e-02,-4.139999999999999680e+00,-3.991562095479818773e+00
-2.939999999999999905e-02,-3.955999999999999961e+00,-4.066323641963615287e+00
-2.934999999999999762e-02,-4.232000000000000206e+00,-4.134475363977460738e+00
-2.929999999999999966e-02,-4.323999999999999844e+00,-4.196042711463014996e+00
-2.924999999999999822e-02,-4.048000000000000043e+00,-4.251429142631658387e+00
-2.920000000000000026e-02,-4.508000000000000007e+00,-4.301315309110449903e+00
-2.914999999999999883e-02,-4.139999999999999680e+00,-4.346387607990521929e+00
-2.909999999999999740e-02,-4.232000000000000206e+00,-4.387064192060100787e+00
-2.904999999999999943e-02,-4.692000000000000171e+00,-4.423155051810410576e+00
-2.899999999999999800e-02,-4.323999999999999844e+00,-4.454090111658104867e+00
-2.895000000000000004e-02,-4.692000000000000171e+00,-4.479600388395001964e+00
-2.889999999999999861e-02,-4.323999999999999844e+00,-4.499928790445437699e+00
-2.885000000000000064e-02,-4.692000000000000171e+00,-4.515630062124055932e+00
-2.879999999999999921e-02,-4.508000000000000007e+00,-4.527479158695193462e+00
-2.874999999999999778e-02,-4.323999999999999844e+00,-4.536425073046643774e+00
-2.869999999999999982e-02,-4.323999999999999844e+00,-4.543003966783783376e+00
-2.864999999999999838e-02,-4.783999999999999808e+00,-4.546610016496869022e+00
-2.860000000000000042e-02,-4.416000000000000369e+00,-4.545779412014367082e+00
-2.854999999999999899e-02,-4.692000000000000171e+00,-4.539029308437448229e+00
-2.849999999999999756e-02,-4.783999999999999808e+00,-4.525394367837560772e+00
-2.844999999999999959e-02,-4.232000000000000206e+00,-4.504788828348194052e+00
-2.839999999999999816e-02,-4.323999999999999844e+00,-4.477623410864791431e+00
-2.835000000000000020e-02,-4.692000000000000171e+00,-4.443795570046340515e+00
-2.829999999999999877e-02,-4.508000000000000007e+00,-4.402789782041889310e+00
-2.824999999999999734e-02,-4.139999999999999680e+00,-4.354599105383793578e+00
-2.819999999999999937e-02,-4.508000000000000007e+00,-4.299732820869317074e+00
-2.814999999999999794e-02,-4.048000000000000043e+00,-4.238715189012174811e+00
-2.809999999999999998e-02,-4.323999999999999844e+00,-4.171998453035513421e+00
-2.804999999999999855e-02,-3.955999999999999961e+00,-4.099995959002486146e+00
-2.799999999999999711e-02,-4.139999999999999680e+00,-4.023057101347564668e+00
-2.794999999999999915e-02,-3.771999999999999797e+00,-3.941437918820704933e+00
-2.789999999999999772e-02,-4.048000000000000043e+00,-3.855263973072318606e+00
-2.784999999999999976e-02,-3.588000000000000078e+00,-3.764598836640949298e+00
-2.779999999999999832e-02,-3.863999999999999879e+00,-3.669558724165502550e+00
-2.774999999999999689e-02,-3.403999999999999915e+00,-3.570356334075644344e+00
-2.769999999999999893e-02,-3.679999999999999716e+00,-3.467330368968476684e+00
-2.764999999999999750e-02,-3.128000000000000114e+00,-3.360958445916917281e+00
-2.759999999999999953e-02,-3.403999999999999915e+00,-3.251734207297572787e+00
-2.754999999999999810e-02,-2.943999999999999950e+00,-3.139962302657278048e+00
-2.750000000000000014e-02,-3.219999999999999751e+00,-3.025698738591154680e+00
-2.744999999999999871e-02,-2.759999999999999787e+00,-2.908891689435944894e+00
-2.739999999999999727e-02,-2.943999999999999950e+00,-2.789547922282750392e+00
-2.734999999999999931e-02,-2.483999999999999986e+00,-2.667750945983436317e+00
-2.729999999999999788e-02,-2.759999999999999787e+00,-2.543588582915384144e+00
-2.724999999999999992e-02,-2.208000000000000185e+00,-2.417163062113509397e+00
-2.719999999999999848e-02,-2.483999999999999986e+00,-2.288624841127886445e+00
-2.715000000000000052e-02,-2.024000000000000021e+00,-2.158171099618712674e+00
-2.709999999999999909e-02,-2.208000000000000185e+00,-2.026123114654869717e+00
-2.704999999999999766e-02,-1.655999999999999917e+00,-1.892964428015998513e+00
-2.699999999999999969e-02,-1.931999999999999940e+00,-1.759162806187582140e+00
-2.694999999999999826e-02,-1.471999999999999975e+00,-1.625003455926161244e+00
-2.690000000000000030e-02,-1.655999999999999917e+00,-1.490661060378986935e+00
-2.684999999999999887e-02,-1.195999999999999952e+00,-1.356333828998617319e+00
-2.679999999999999744e-02,-1.288000000000000034e+00,-1.222205696445769929e+00
-2.674999999999999947e-02,-9.199999999999999289e-01,-1.088234866222236086e+00
-2.669999999999999804e-02,-1.195999999999999952e+00,-9.540572029346751082e-01
-2.665000000000000008e-02,-6.440000000000000169e-01,-8.192368124749511704e-01
-2.659999999999999865e-02,-8.279999999999999583e-01,-6.835190644432367346e-01
-2.654999999999999721e-02,-3.679999999999999938e-01,-5.467420209098275974e-01
-2.649999999999999925e-02,-5.520000000000000462e-01,-4.086407119649850817e-01
-2.644999999999999782e-02,-1.839999999999999969e-01,-2.688361630783644984e-01
-2.639999999999999986e-02,-3.679999999999999938e-01,-1.270697538444588992e-01
-2.634999999999999842e-02,1.839999999999999969e-01,1.648803212938913798e-02
-2.629999999999999699e-02,0.000000000000000000e+00,1.612005662488214808e-01
-2.624999999999999903e-02,4.599999999999999645e-01,3.062016446861512975e-01
-2.619999999999999760e-02,3.679999999999999938e-01,4.506215937496348967e-01
-2.614999999999999963e-02,7.359999999999999876e-01,5.937526311261194234e-01
-2.609999999999999820e-02,5.520000000000000462e-01,7.351035437821448193e-01
-2.604999999999999677e-02,1.104000000000000092e+00,8.742926711745190316e-01
-2.599999999999999881e-02,9.199999999999999289e-01,1.011073965752402382e+00
-2.595000000000000084e-02,1.288000000000000034e+00,1.145557698183212292e+00
-2.589999999999999941e-02,1.012000000000000011e+00,1.278164307364856978e+00
-2.584999999999999798e-02,1.655999999999999917e+00,1.409252659668734697e+00
-2.579999999999999655e-02,1.379999999999999893e+00,1.538998938791163784e+00
-2.574999999999999858e-02,1.747999999999999998e+00,1.667581022685877823e+00
-2.570000000000000062e-02,1.655999999999999917e+00,1.795144923632349121e+00
-2.564999999999999919e-02,2.116000000000000103e+00,1.921667386760091523e+00
-2.559999999999999776e-02,1.839999999999999858e+00,2.047061018102272811e+00
-2.554999999999999979e-02,2.391999999999999904e+00,2.171290214591754975e+00
-2.549999999999999836e-02,2.116000000000000103e+00,2.294382475787551279e+00
-2.545000000000000040e-02,2.483999999999999986e+00,2.416393256836567360e+00
-2.539999999999999897e-02,2.391999999999999904e+00,2.537208546457103697e+00
-2.534999999999999754e-02,2.851999999999999869e+00,2.656417037866797060e+00
-2.529999999999999957e-02,2.668000000000000149e+00,2.773542973833236669e+00
-2.524999999999999814e-02,3.036000000000000032e+00,2.888353342221095410e+00
-2.520000000000000018e-02,2.851999999999999869e+00,3.000895514693195487e+00
-2.514999999999999875e-02,3.219999999999999751e+00,3.111325342002840610e+00
-2.509999999999999731e-02,3.036000000000000032e+00,3.219699668589741659e+00
-2.504999999999999935e-02,3.495999999999999996e+00,3.325848458488053438e+00
-2.499999999999999792e-02,3.311999999999999833e+00,3.429442320249201259e+00
-2.494999999999999996e-02,3.679999999999999716e+00,3.530198943935600298e+00
-2.489999999999999852e-02,3.495999999999999996e+00,3.627999293333454833e+00
-2.484999999999999709e-02,3.863999999999999879e+00,3.722857951321798531e+00
-2.479999999999999913e-02,3.588000000000000078e+00,3.814806823538849923e+00
-2.474999999999999770e-02,3.955999999999999961e+00,3.903634780544821048e+00
-2.469999999999999973e-02,3.955999999999999961e+00,3.988657801837668604e+00
-2.464999999999999830e-02,4.232000000000000206e+00,4.068927909778106589e+00
-2.459999999999999687e-02,4.048000000000000043e+00,4.143713150557419844e+00
-2.454999999999999891e-02,4.416000000000000369e+00,4.212735022673422591e+00
-2.449999999999999747e-02,4.139999999999999680e+00,4.276169523508954740e+00
-2.444999999999999951e-02,4.416000000000000369e+00,4.334530327445135001e+00
-2.439999999999999808e-02,4.232000000000000206e+00,4.388375054153093480e+00
-2.434999999999999665e-02,4.508000000000000007e+00,4.438004510632663546e+00
-2.429999999999999868e-02,4.323999999999999844e+00,4.483324383726350781e+00
-2.425000000000000072e-02,4.692000000000000171e+00,4.523867052146335332e+00
-2.419999999999999929e-02,4.416000000000000369e+00,4.558974357281365464e+00
-2.414999999999999786e-02,4.783999999999999808e+00,4.588029402243298804e+00
-2.409999999999999989e-02,4.416000000000000369e+00,4.610569261019242582e+00
-2.404999999999999846e-02,4.783999999999999808e+00,4.626226379901164698e+00
-2.400000000000000050e-02,4.783999999999999808e+00,4.634792914943737685e+00
-2.394999999999999907e-02,4.416000000000000369e+00,4.636527096526146252e+00
-2.389999999999999764e-02,4.783999999999999808e+00,4.632065731197845260e+00
-2.384999999999999967e-02,4.508000000000000007e+00,4.621998540802617406e+00
-2.379999999999999824e-02,4.416000000000000369e+00,4.606620796217072211e+00
-2.375000000000000028e-02,4.783999999999999808e+00,4.585685981784660470e+00
-2.369999999999999885e-02,4.783999999999999808e+00,4.558677487231848069e+00
-2.364999999999999741e-02,4.323999999999999844e+00,4.525716156991860473e+00
-2.359999999999999945e-02,4.323999999999999844e+00,4.487542158685996263e+00
-2.354999999999999802e-02,4.599999999999999645e+00,4.444512187845669260e+00
-2.350000000000000006e-02,4.508000000000000007e+00,4.396461067659590327e+00
-2.344999999999999862e-02,4.139999999999999680e+00,4.343424850883955024e+00
-2.339999999999999719e-02,4.416000000000000369e+00,4.285719135589319606e+00
-2.334999999999999923e-02,4.048000000000000043e+00,4.223487554287822299e+00
-2.329999999999999780e-02,4.323999999999999844e+00,4.156587404929316776e+00
-2.324999999999999983e-02,3.955999999999999961e+00,4.084753695734042900e+00
-2.319999999999999840e-02,4.139999999999999680e+00,4.007752923600849115e+00
-2.314999999999999697e-02,3.863999999999999879e+00,3.925470620666223542e+00
-2.309999999999999901e-02,3.955999999999999961e+00,3.837992436298017118e+00
-2.304999999999999757e-02,3.588000000000000078e+00,3.745621640230025307e+00
-2.299999999999999961e-02,3.771999999999999797e+00,3.648716380613015176e+00
