# [TIME],[VOLT],[VOLT filtered 1kHz] 
# 
-2.999999999999999889e-02,-8.279999999999999361e+00,-8.291457171455443032e+00
-2.994999999999999746e-02,-7.911999999999999922e+00,-8.251307230651008240e+00
-2.989999999999999949e-02,-7.911999999999999922e+00,-8.213839874151176446e+00
-2.984999999999999806e-02,-8.279999999999999361e+00,-8.178926576001755322e+00
-2.980000000000000010e-02,-8.371999999999999886e+00,-8.144835214253292932e+00
-2.974999999999999867e-02,-7.911999999999999922e+00,-8.109689398428901796e+00
-2.969999999999999724e-02,-7.911999999999999922e+00,-8.071936663419533531e+00
-2.964999999999999927e-02,-8.279999999999999361e+00,-8.029668480538177278e+00
-2.959999999999999784e-02,-8.188000000000000611e+00,-7.980778305902146208e+00
-2.954999999999999988e-02,-7.727999999999999758e+00,-7.923976075148194909e+00
-2.949999999999999845e-02,-7.636000000000000121e+00,-7.858650201206439867e+00
-2.945000000000000048e-02,-8.003999999999999559e+00,-7.783706466778830269e+00
-2.939999999999999905e-02,-7.911999999999999922e+00,-7.697536559383181043e+00
-2.934999999999999762e-02,-7.359999999999999432e+00,-7.599069559431891996e+00
-2.929999999999999966e-02,-7.727999999999999758e+00,-7.488007954938311173e+00
-2.924999999999999822e-02,-7.176000000000000156e+00,-7.364315629497386162e+00
-2.920000000000000026e-02,-7.359999999999999432e+00,-7.228004840212634896e+00
-2.914999999999999883e-02,-6.899999999999999467e+00,-7.079050046225875192e+00
-2.909999999999999740e-02,-7.176000000000000156e+00,-6.917313181721506332e+00
-2.904999999999999943e-02,-6.532000000000000028e+00,-6.742712439036877115e+00
-2.899999999999999800e-02,-6.807999999999999829e+00,-6.555403669295065683e+00
-2.895000000000000004e-02,-6.163999999999999702e+00,-6.355800736577351451e+00
-2.889999999999999861e-02,-6.439999999999999503e+00,-6.144606729513653498e+00
-2.885000000000000064e-02,-5.612000000000000099e+00,-5.922851708840484619e+00
-2.879999999999999921e-02,-5.979999999999999538e+00,-5.691756151829069132e+00
-2.874999999999999778e-02,-5.152000000000000135e+00,-5.452526132179499996e+00
-2.869999999999999982e-02,-5.519999999999999574e+00,-5.206300417734014196e+00
-2.864999999999999838e-02,-4.692000000000000171e+00,-4.954237616305142922e+00
-2.860000000000000042e-02,-4.967999999999999972e+00,-4.697615756228366912e+00
-2.854999999999999899e-02,-4.139999999999999680e+00,-4.437816426052462404e+00
-2.849999999999999756e-02,-4.323999999999999844e+00,-4.176122835103916131e+00
-2.844999999999999959e-02,-3.679999999999999716e+00,-3.913434625302203429e+00
-2.839999999999999816e-02,-3.863999999999999879e+00,-3.650177247861745577e+00
-2.835000000000000020e-02,-3.128000000000000114e+00,-3.386455166529034333e+00
-2.829999999999999877e-02,-3.495999999999999996e+00,-3.122270261051491858e+00
-2.824999999999999734e-02,-2.576000000000000068e+00,-2.857803280914041011e+00
-2.819999999999999937e-02,-2.851999999999999869e+00,-2.593583339892018724e+00
-2.814999999999999794e-02,-2.024000000000000021e+00,-2.330311347245384912e+00
-2.809999999999999998e-02,-2.391999999999999904e+00,-2.068622230638308412e+00
-2.804999999999999855e-02,-1.564000000000000057e+00,-1.809127243327346646e+00
-2.799999999999999711e-02,-1.747999999999999998e+00,-1.552556179436112238e+00
-2.794999999999999915e-02,-1.012000000000000011e+00,-1.299645482198754198e+00
-2.789999999999999772e-02,-1.288000000000000034e+00,-1.050881181050629998e+00
-2.784999999999999976e-02,-5.520000000000000462e-01,-8.064376895860412287e-01
-2.779999999999999832e-02,-8.279999999999999583e-01,-5.663078817302527046e-01
-2.774999999999999689e-02,-9.199999999999999845e-02,-3.304484621913189590e-01
-2.769999999999999893e-02,-2.760000000000000231e-01,-9.882425518169857259e-02
-2.764999999999999750e-02,3.679999999999999938e-01,1.287062339309538728e-01
-2.759999999999999953e-02,1.839999999999999969e-01,3.525473380040893834e-01
-2.754999999999999810e-02,8.279999999999999583e-01,5.734469009651155247e-01
-2.750000000000000014e-02,5.520000000000000462e-01,7.924966297295560347e-01
-2.744999999999999871e-02,1.195999999999999952e+00,1.010986740232092673e+00
-2.739999999999999727e-02,1.012000000000000011e+00,1.230162501963234067e+00
-2.734999999999999931e-02,1.655999999999999917e+00,1.451102356014118744e+00
-2.729999999999999788e-02,1.471999999999999975e+00,1.674763547739934300e+00
-2.724999999999999992e-02,2.024000000000000021e+00,1.902010618368173311e+00
-2.719999999999999848e-02,1.931999999999999940e+00,2.133501263791141245e+00
-2.715000000000000052e-02,2.576000000000000068e+00,2.369595010041381844e+00
-2.709999999999999909e-02,2.299999999999999822e+00,2.610394263324981257e+00
-2.704999999999999766e-02,3.128000000000000114e+00,2.855740335926645557e+00
-2.699999999999999969e-02,2.759999999999999787e+00,3.105163437539858240e+00
-2.694999999999999826e-02,3.588000000000000078e+00,3.357846338552207932e+00
-2.690000000000000030e-02,3.403999999999999915e+00,3.612606615267461851e+00
-2.684999999999999887e-02,4.048000000000000043e+00,3.868021505927416559e+00
-2.679999999999999744e-02,3.955999999999999961e+00,4.122590930920071450e+00
-2.674999999999999947e-02,4.692000000000000171e+00,4.374894315069792761e+00
-2.669999999999999804e-02,4.323999999999999844e+00,4.623813375417261895e+00
