# [TIME],[VOLT],[VOLT filtered 1kHz] 
# 
-2.999999999999999889e-02,9.108000000000000540e+00,9.256567603942604805e+00
-2.994999999999999746e-02,8.740000000000000213e+00,9.111094088005145863e+00
-2.989999999999999949e-02,8.647999999999999687e+00,8.948263347084804309e+00
-2.984999999999999806e-02,9.108000000000000540e+00,8.751776293547779417e+00
-2.980000000000000010e-02,9.108000000000000540e+00,8.504449010370800366e+00
-2.974999999999999867e-02,8.647999999999999687e+00,8.191259904476194009e+00
-2.969999999999999724e-02,8.832000000000000739e+00,7.801971819556584364e+00
-2.964999999999999927e-02,7.451999999999999957e+00,7.332483478938974564e+00
-2.959999999999999784e-02,7.636000000000000121e+00,6.784948610251207768e+00
-2.954999999999999988e-02,5.796000000000000263e+00,6.166761278959917547e+00
-2.949999999999999845e-02,5.796000000000000263e+00,5.488738013286610595e+00
-2.945000000000000048e-02,4.232000000000000206e+00,4.762952188770821493e+00
-2.939999999999999905e-02,4.323999999999999844e+00,4.001106317808038604e+00
-2.934999999999999762e-02,2.483999999999999986e+00,3.213791812943256332e+00
-2.929999999999999966e-02,2.668000000000000149e+00,2.410001470578368554e+00
-2.924999999999999822e-02,9.199999999999999289e-01,1.596674837659358470e+00
-2.920000000000000026e-02,1.195999999999999952e+00,7.786511258835218108e-01
-2.914999999999999883e-02,-4.599999999999999645e-01,-4.080848474189792408e-02
-2.909999999999999740e-02,-2.760000000000000231e-01,-8.590961906608229892e-01
-2.904999999999999943e-02,-1.931999999999999940e+00,-1.673257315699768544e+00
-2.899999999999999800e-02,-1.931999999999999940e+00,-2.479235031880345108e+00
-2.895000000000000004e-02,-3.588000000000000078e+00,-3.271567155342645083e+00
-2.889999999999999861e-02,-3.403999999999999915e+00,-4.043403789320486830e+00
-2.885000000000000064e-02,-5.152000000000000135e+00,-4.786495680310202339e+00
-2.879999999999999921e-02,-5.059999999999999609e+00,-5.491280129829819501e+00
-2.874999999999999778e-02,-6.716000000000000192e+00,-6.147436326752091951e+00
-2.869999999999999982e-02,-6.439999999999999503e+00,-6.744772096229408653e+00
-2.864999999999999838e-02,-8.096000000000000085e+00,-7.274136447670717764e+00
-2.860000000000000042e-02,-7.911999999999999922e+00,-7.728571603562990333e+00
-2.854999999999999899e-02,-8.832000000000000739e+00,-8.104732934866774485e+00
-2.849999999999999756e-02,-8.464000000000000412e+00,-8.403713939581329839e+00
-2.844999999999999959e-02,-9.016000000000000014e+00,-8.630727186845760457e+00
-2.839999999999999816e-02,-9.016000000000000014e+00,-8.794268268540177402e+00
-2.835000000000000020e-02,-8.555999999999999162e+00,-8.905235237792098246e+00
-2.829999999999999877e-02,-8.647999999999999687e+00,-8.975286039669990501e+00
-2.824999999999999734e-02,-9.016000000000000014e+00,-9.014737545869360602e+00
-2.819999999999999937e-02,-9.108000000000000540e+00,-9.031982352055452523e+00
-2.814999999999999794e-02,-8.647999999999999687e+00,-9.034322460684967027e+00
-2.809999999999999998e-02,-9.108000000000000540e+00,-9.028221886671689234e+00
-2.804999999999999855e-02,-8.740000000000000213e+00,-9.018903440134119265e+00
-2.799999999999999711e-02,-8.647999999999999687e+00,-9.010036686420818342e+00
-2.794999999999999915e-02,-9.291999999999999815e+00,-9.003466099901871189e+00
-2.789999999999999772e-02,-9.199999999999999289e+00,-8.999869585672113814e+00
-2.784999999999999976e-02,-8.647999999999999687e+00,-9.000209780077144117e+00
-2.779999999999999832e-02,-8.740000000000000213e+00,-9.005649680384580691e+00
-2.774999999999999689e-02,-9.199999999999999289e+00,-9.016154774423521090e+00
