# [TIME],[VOLT],[VOLT filtered 1kHz] 
# 
-2.999999999999999889e-02,-2.483999999999999986e+00,-2.490948591887058861e+00
-2.994999999999999746e-02,-2.208000000000000185e+00,-2.395094256499507690e+00
-2.989999999999999949e-02,-2.391999999999999904e+00,-2.301286269402200713e+00
-2.984999999999999806e-02,-2.024000000000000021e+00,-2.210476724622044031e+00
-2.980000000000000010e-02,-2.299999999999999822e+00,-2.123126822432867655e+00
-2.974999999999999867e-02,-1.839999999999999858e+00,-2.039424002953993398e+00
-2.969999999999999724e-02,-2.116000000000000103e+00,-1.959407786981424815e+00
-2.964999999999999927e-02,-1.747999999999999998e+00,-1.883001804851357486e+00
-2.959999999999999784e-02,-1.931999999999999940e+00,-1.810067170859271268e+00
-2.954999999999999988e-02,-1.564000000000000057e+00,-1.740419844986447639e+00
-2.949999999999999845e-02,-1.839999999999999858e+00,-1.673755433925375957e+00
-2.945000000000000048e-02,-1.471999999999999975e+00,-1.609657236107265632e+00
-2.939999999999999905e-02,-1.747999999999999998e+00,-1.547748411317107164e+00
-2.934999999999999762e-02,-1.288000000000000034e+00,-1.487818127778668176e+00
-2.929999999999999966e-02,-1.655999999999999917e+00,-1.429809127585847328e+00
-2.924999999999999822e-02,-1.195999999999999952e+00,-1.373784610825798502e+00
-2.920000000000000026e-02,-1.564000000000000057e+00,-1.319990897485083581e+00
-2.914999999999999883e-02,-1.012000000000000011e+00,-1.268899199605290962e+00
-2.909999999999999740e-02,-1.012000000000000011e+00,-1.220818807811321127e+00
-2.904999999999999943e-02,-1.379999999999999893e+00,-1.175194613189621595e+00
-2.899999999999999800e-02,-1.288000000000000034e+00,-1.130804408129369332e+00
-2.895000000000000004e-02,-9.199999999999999289e-01,-1.086802700976910563e+00
-2.889999999999999861e-02,-1.288000000000000034e+00,-1.043055920607837805e+00
-2.885000000000000064e-02,-8.279999999999999583e-01,-9.998336902035132034e-01
-2.879999999999999921e-02,-1.104000000000000092e+00,-9.576690818535965599e-01
-2.874999999999999778e-02,-7.359999999999999876e-01,-9.172122675350631305e-01
-2.869999999999999982e-02,-1.104000000000000092e+00,-8.790729388449020076e-01
-2.864999999999999838e-02,-6.440000000000000169e-01,-8.438771787463505980e-01
-2.860000000000000042e-02,-6.440000000000000169e-01,-8.121273571331208974e-01
-2.854999999999999899e-02,-1.012000000000000011e+00,-7.837437389341923577e-01
-2.849999999999999756e-02,-4.599999999999999645e-01,-7.580372121800771357e-01
-2.844999999999999959e-02,-1.012000000000000011e+00,-7.340562173896050258e-01
-2.839999999999999816e-02,-8.279999999999999583e-01,-7.109659178651714928e-01
-2.835000000000000020e-02,-4.599999999999999645e-01,-6.885251362705672173e-01
-2.829999999999999877e-02,-4.599999999999999645e-01,-6.667413276446484405e-01
-2.824999999999999734e-02,-9.199999999999999289e-01,-6.448813260301751171e-01
-2.819999999999999937e-02,-8.279999999999999583e-01,-6.217520863048269231e-01
-2.814999999999999794e-02,-3.679999999999999938e-01,-5.969102370855310369e-01
-2.809999999999999998e-02,-8.279999999999999583e-01,-5.708391863440084313e-01
-2.804999999999999855e-02,-2.760000000000000231e-01,-5.443287826905883753e-01
