# [TIME],[VOLT],[VOLT filtered 1kHz] 
# 
-2.999999999999999889e-02,-6.532000000000000028e+00,-6.550250158523511779e+00
-2.994999999999999746e-02,-6.163999999999999702e+00,-6.445299340710300307e+00
-2.989999999999999949e-02,-6.439999999999999503e+00,-6.342929042127959605e+00
-2.984999999999999806e-02,-5.979999999999999538e+00,-6.243773900502837648e+00
-2.980000000000000010e-02,-6.256000000000000227e+00,-6.147519814243048053e+00
-2.974999999999999867e-02,-5.887999999999999901e+00,-6.053093236173858749e+00
-2.969999999999999724e-02,-6.163999999999999702e+00,-5.958940813228403854e+00
-2.964999999999999927e-02,-5.703999999999999737e+00,-5.863408767528867749e+00
-2.959999999999999784e-02,-5.979999999999999538e+00,-5.765004307756274926e+00
-2.954999999999999988e-02,-5.427999999999999936e+00,-5.662438680068127006e+00
-2.949999999999999845e-02,-5.796000000000000263e+00,-5.554524521035030027e+00
-2.945000000000000048e-02,-5.336000000000000298e+00,-5.440172429513114416e+00
-2.939999999999999905e-02,-5.519999999999999574e+00,-5.318614438629613694e+00
-2.934999999999999762e-02,-5.059999999999999609e+00,-5.189574934594798350e+00
-2.929999999999999966e-02,-5.243999999999999773e+00,-5.053222315426077138e+00
-2.924999999999999822e-02,-4.692000000000000171e+00,-4.910020122436930201e+00
-2.920000000000000026e-02,-4.967999999999999972e+00,-4.760534557167473757e+00
-2.914999999999999883e-02,-4.323999999999999844e+00,-4.605252546047177375e+00
-2.909999999999999740e-02,-4.692000000000000171e+00,-4.444463429016128231e+00
-2.904999999999999943e-02,-4.139999999999999680e+00,-4.278315684086426707e+00
-2.899999999999999800e-02,-4.323999999999999844e+00,-4.107103349199259235e+00
-2.895000000000000004e-02,-3.771999999999999797e+00,-3.931489915481871211e+00
-2.889999999999999861e-02,-3.863999999999999879e+00,-3.752434174100324427e+00
-2.885000000000000064e-02,-3.403999999999999915e+00,-3.570927429877971182e+00
-2.879999999999999921e-02,-3.588000000000000078e+00,-3.387823046998350573e+00
-2.874999999999999778e-02,-3.036000000000000032e+00,-3.203922784078433672e+00
-2.869999999999999982e-02,-3.128000000000000114e+00,-3.020079464780420331e+00
-2.864999999999999838e-02,-2.668000000000000149e+00,-2.837075967213992467e+00
-2.860000000000000042e-02,-2.851999999999999869e+00,-2.655503992261547097e+00
-2.854999999999999899e-02,-2.299999999999999822e+00,-2.475866775883635018e+00
-2.849999999999999756e-02,-2.483999999999999986e+00,-2.298725700275998207e+00
-2.844999999999999959e-02,-1.931999999999999940e+00,-2.124711428047812767e+00
-2.839999999999999816e-02,-2.208000000000000185e+00,-1.954509570947853270e+00
-2.835000000000000020e-02,-1.564000000000000057e+00,-1.788930335666065519e+00
-2.829999999999999877e-02,-1.747999999999999998e+00,-1.628881322985948676e+00
-2.824999999999999734e-02,-1.288000000000000034e+00,-1.475119748269666964e+00
-2.819999999999999937e-02,-1.564000000000000057e+00,-1.328123346352762857e+00
-2.814999999999999794e-02,-9.199999999999999289e-01,-1.188246565526343446e+00
-2.809999999999999998e-02,-1.195999999999999952e+00,-1.055751450493832344e+00
-2.804999999999999855e-02,-7.359999999999999876e-01,-9.305937760293327976e-01
-2.799999999999999711e-02,-9.199999999999999289e-01,-8.123100195648628175e-01
-2.794999999999999915e-02,-5.520000000000000462e-01,-7.000640445382222410e-01
-2.789999999999999772e-02,-8.279999999999999583e-01,-5.928000655618822501e-01
-2.784999999999999976e-02,-2.760000000000000231e-01,-4.895095392715077542e-01
-2.779999999999999832e-02,-5.520000000000000462e-01,-3.893319708692246084e-01
-2.774999999999999689e-02,-1.839999999999999969e-01,-2.914414192776766943e-01
-2.769999999999999893e-02,-3.679999999999999938e-01,-1.950750794665627175e-01
-2.764999999999999750e-02,0.000000000000000000e+00,-9.971210900845588199e-02
-2.759999999999999953e-02,-1.839999999999999969e-01,-5.178042057339092563e-03
-2.754999999999999810e-02,2.760000000000000231e-01,8.837835187188042285e-02
-2.750000000000000014e-02,9.199999999999999845e-02,1.806917505375196520e-01
-2.744999999999999871e-02,4.599999999999999645e-01,2.717131019632186839e-01
-2.739999999999999727e-02,1.839999999999999969e-01,3.617802922195303417e-01
-2.734999999999999931e-02,5.520000000000000462e-01,4.514527184136172266e-01
-2.729999999999999788e-02,3.679999999999999938e-01,5.411807737689460218e-01
-2.724999999999999992e-02,8.279999999999999583e-01,6.311534278520342101e-01
-2.719999999999999848e-02,5.520000000000000462e-01,7.214358531398320507e-01
-2.715000000000000052e-02,1.012000000000000011e+00,8.121630713722954864e-01
-2.709999999999999909e-02,7.359999999999999876e-01,9.036144151406731995e-01
-2.704999999999999766e-02,1.195999999999999952e+00,9.962249296239716889e-01
-2.699999999999999969e-02,8.279999999999999583e-01,1.090530846384273111e+00
-2.694999999999999826e-02,1.379999999999999893e+00,1.186987167831986545e+00
-2.690000000000000030e-02,1.104000000000000092e+00,1.285826458904800740e+00
-2.684999999999999887e-02,1.564000000000000057e+00,1.387128552535915826e+00
-2.679999999999999744e-02,1.379999999999999893e+00,1.490982761742567497e+00
-2.674999999999999947e-02,1.747999999999999998e+00,1.597625262585356198e+00
-2.669999999999999804e-02,1.564000000000000057e+00,1.707492199943903444e+00
-2.665000000000000008e-02,1.931999999999999940e+00,1.821128014286553576e+00
-2.659999999999999865e-02,1.747999999999999998e+00,1.939002920206594816e+00
-2.654999999999999721e-02,2.208000000000000185e+00,2.061350693033901837e+00
-2.649999999999999925e-02,2.024000000000000021e+00,2.188138564540308195e+00
-2.644999999999999782e-02,2.483999999999999986e+00,2.319167026882621663e+00
-2.639999999999999986e-02,2.299999999999999822e+00,2.454183656043759765e+00
-2.634999999999999842e-02,2.759999999999999787e+00,2.592954531448131927e+00
-2.629999999999999699e-02,2.576000000000000068e+00,2.735295432392484738e+00
-2.624999999999999903e-02,3.036000000000000032e+00,2.881065008115109904e+00
-2.619999999999999760e-02,2.851999999999999869e+00,3.030121809547922762e+00
-2.614999999999999963e-02,3.311999999999999833e+00,3.182246821243253976e+00
-2.609999999999999820e-02,3.128000000000000114e+00,3.337033306529998189e+00
-2.604999999999999677e-02,3.679999999999999716e+00,3.493804582068477327e+00
-2.599999999999999881e-02,3.495999999999999996e+00,3.651679944529306443e+00
-2.595000000000000084e-02,3.955999999999999961e+00,3.809737368526159518e+00
-2.589999999999999941e-02,3.863999999999999879e+00,3.967107444635608715e+00
-2.584999999999999798e-02,4.232000000000000206e+00,4.123007362575035195e+00
-2.579999999999999655e-02,4.139999999999999680e+00,4.276723516814058712e+00
-2.574999999999999858e-02,4.599999999999999645e+00,4.427550698997245959e+00
-2.570000000000000062e-02,4.416000000000000369e+00,4.574811079950431569e+00
-2.564999999999999919e-02,4.876000000000000334e+00,4.717902123612996768e+00
-2.559999999999999776e-02,4.692000000000000171e+00,4.856264296013049986e+00
-2.554999999999999979e-02,5.243999999999999773e+00,4.989390510973717774e+00
-2.549999999999999836e-02,4.967999999999999972e+00,5.116998611555749754e+00
-2.545000000000000040e-02,5.427999999999999936e+00,5.239197547403207089e+00
-2.539999999999999897e-02,5.152000000000000135e+00,5.356417818405205367e+00
-2.534999999999999754e-02,5.612000000000000099e+00,5.469163296506232008e+00
-2.529999999999999957e-02,5.336000000000000298e+00,5.577754916973020727e+00
-2.524999999999999814e-02,5.887999999999999901e+00,5.682178174873575571e+00
-2.520000000000000018e-02,5.612000000000000099e+00,5.782147681026779118e+00
-2.514999999999999875e-02,5.979999999999999538e+00,5.877272882250261787e+00
-2.509999999999999731e-02,5.796000000000000263e+00,5.967037692975546648e+00
-2.504999999999999935e-02,6.256000000000000227e+00,6.050713786900993263e+00
-2.499999999999999792e-02,6.347999999999999865e+00,6.127733901434150532e+00
-2.494999999999999996e-02,5.979999999999999538e+00,6.198357030902968745e+00
-2.489999999999999852e-02,6.163999999999999702e+00,6.263470706464813631e+00
-2.484999999999999709e-02,6.439999999999999503e+00,6.323644467730519025e+00
-2.479999999999999913e-02,6.532000000000000028e+00,6.379050386316674093e+00
-2.474999999999999770e-02,6.163999999999999702e+00,6.430129593976123381e+00
-2.469999999999999973e-02,6.716000000000000192e+00,6.477611134454591024e+00
-2.464999999999999830e-02,6.256000000000000227e+00,6.522110038101050833e+00
-2.459999999999999687e-02,6.439999999999999503e+00,6.563820029033885284e+00
-2.454999999999999891e-02,6.807999999999999829e+00,6.602180505949080569e+00
-2.449999999999999747e-02,6.532000000000000028e+00,6.636096104404184182e+00
-2.444999999999999951e-02,6.899999999999999467e+00,6.664655518693799685e+00
-2.439999999999999808e-02,6.532000000000000028e+00,6.687489116183015447e+00
-2.434999999999999665e-02,6.899999999999999467e+00,6.704714856544051749e+00
-2.429999999999999868e-02,6.532000000000000028e+00,6.716765798172131596e+00
-2.425000000000000072e-02,6.899999999999999467e+00,6.724214589011183740e+00
-2.419999999999999929e-02,6.532000000000000028e+00,6.727649325409753800e+00
-2.414999999999999786e-02,6.807999999999999829e+00,6.727537783262136806e+00
-2.409999999999999989e-02,6.532000000000000028e+00,6.724016928744124932e+00
-2.404999999999999846e-02,6.899999999999999467e+00,6.716777635250923417e+00
-2.400000000000000050e-02,6.532000000000000028e+00,6.705217382851906827e+00
-2.394999999999999907e-02,6.807999999999999829e+00,6.688631849860986023e+00
-2.389999999999999764e-02,6.807999999999999829e+00,6.666392637160486245e+00
-2.384999999999999967e-02,6.532000000000000028e+00,6.638290892712965352e+00
-2.379999999999999824e-02,6.439999999999999503e+00,6.604472848896260295e+00
-2.375000000000000028e-02,6.807999999999999829e+00,6.564853982177707437e+00
-2.369999999999999885e-02,6.623999999999999666e+00,6.519228292658244328e+00
-2.364999999999999741e-02,6.256000000000000227e+00,6.467957287850627068e+00
-2.359999999999999945e-02,6.532000000000000028e+00,6.411848681127296778e+00
-2.354999999999999802e-02,6.163999999999999702e+00,6.351511068367216239e+00
-2.350000000000000006e-02,6.439999999999999503e+00,6.287163290916890190e+00
-2.344999999999999862e-02,5.979999999999999538e+00,6.218719745617691252e+00
-2.339999999999999719e-02,6.347999999999999865e+00,6.145801861642807395e+00
-2.334999999999999923e-02,5.887999999999999901e+00,6.067792264100811295e+00
-2.329999999999999780e-02,6.163999999999999702e+00,5.983993019357761511e+00
-2.324999999999999983e-02,5.796000000000000263e+00,5.893777661793038192e+00
-2.319999999999999840e-02,5.979999999999999538e+00,5.796743259930872583e+00
-2.314999999999999697e-02,5.427999999999999936e+00,5.692752344224735417e+00
-2.309999999999999901e-02,5.796000000000000263e+00,5.581694965460927804e+00
-2.304999999999999757e-02,5.336000000000000298e+00,5.463320613162975015e+00
-2.299999999999999961e-02,5.519999999999999574e+00,5.337431236817628211e+00
-2.294999999999999818e-02,4.967999999999999972e+00,5.204031912341871013e+00
-2.289999999999999675e-02,5.243999999999999773e+00,5.063151097770716369e+00
-2.284999999999999878e-02,4.783999999999999808e+00,4.914678480414637285e+00
-2.279999999999999735e-02,4.967999999999999972e+00,4.758510235785131215e+00
-2.274999999999999939e-02,4.508000000000000007e+00,4.594828502965751404e+00
-2.269999999999999796e-02,4.599999999999999645e+00,4.424283282389950500e+00
-2.264999999999999653e-02,4.048000000000000043e+00,4.247958291800527419e+00
-2.259999999999999856e-02,4.232000000000000206e+00,4.067114411681460595e+00
-2.255000000000000060e-02,3.679999999999999716e+00,3.882932538912811982e+00
-2.249999999999999917e-02,3.863999999999999879e+00,3.696418029546413742e+00
-2.244999999999999774e-02,3.403999999999999915e+00,3.508455328937762463e+00
-2.239999999999999977e-02,3.495999999999999996e+00,3.320002398197846372e+00
-2.234999999999999834e-02,2.851999999999999869e+00,3.132183626561958256e+00
-2.230000000000000038e-02,3.128000000000000114e+00,2.946039690267750366e+00
-2.224999999999999895e-02,2.576000000000000068e+00,2.762271451512712250e+00
-2.219999999999999751e-02,2.851999999999999869e+00,2.581373721558364309e+00
-2.214999999999999608e-02,2.208000000000000185e+00,2.403977588218678907e+00
-2.209999999999999812e-02,2.391999999999999904e+00,2.230989599327215522e+00
-2.205000000000000016e-02,1.839999999999999858e+00,2.063405035407342325e+00
-2.199999999999999872e-02,2.024000000000000021e+00,1.902018521720287625e+00
-2.194999999999999729e-02,1.564000000000000057e+00,1.747254853512167472e+00
-2.189999999999999933e-02,1.747999999999999998e+00,1.599170748020314115e+00
-2.184999999999999790e-02,1.288000000000000034e+00,1.457565381843938024e+00
-2.179999999999999993e-02,1.471999999999999975e+00,1.322082870509472707e+00
-2.174999999999999850e-02,1.012000000000000011e+00,1.192250337216929523e+00
-2.169999999999999707e-02,1.195999999999999952e+00,1.067454960250655782e+00
-2.164999999999999911e-02,8.279999999999999583e-01,9.469227309232015610e-01
-2.159999999999999767e-02,1.012000000000000011e+00,8.298209116487972326e-01
-2.154999999999999971e-02,6.440000000000000169e-01,7.154914669648829717e-01
-2.149999999999999828e-02,7.359999999999999876e-01,6.036490978212046832e-01
-2.144999999999999685e-02,2.760000000000000231e-01,4.943180714712475665e-01
-2.139999999999999888e-02,5.520000000000000462e-01,3.875110355457589417e-01
-2.135000000000000092e-02,9.199999999999999845e-02,2.829983370616620530e-01
-2.129999999999999949e-02,3.679999999999999938e-01,1.803424541939847026e-01
-2.124999999999999806e-02,0.000000000000000000e+00,7.908396207965089075e-02
-2.119999999999999662e-02,1.839999999999999969e-01,-2.097535866372161190e-02
-2.114999999999999866e-02,-3.679999999999999938e-01,-1.196205048674783278e-01
-2.110000000000000070e-02,-9.199999999999999845e-02,-2.164903863061202194e-01
-2.104999999999999927e-02,-4.599999999999999645e-01,-3.114756423457932799e-01
-2.099999999999999784e-02,-2.760000000000000231e-01,-4.047859063290923931e-01
-2.094999999999999640e-02,-6.440000000000000169e-01,-4.968029960325431316e-01
-2.089999999999999844e-02,-3.679999999999999938e-01,-5.879500920950248011e-01
-2.085000000000000048e-02,-9.199999999999999289e-01,-6.785737206382406184e-01
-2.079999999999999905e-02,-6.440000000000000169e-01,-7.690084501777172399e-01
-2.074999999999999761e-02,-1.012000000000000011e+00,-8.598204904784696456e-01
-2.069999999999999618e-02,-8.279999999999999583e-01,-9.518784522442693685e-01
-2.064999999999999822e-02,-1.104000000000000092e+00,-1.046187356103996935e+00
-2.060000000000000026e-02,-9.199999999999999289e-01,-1.143593702141977309e+00
-2.054999999999999882e-02,-1.471999999999999975e+00,-1.244526545503483517e+00
-2.049999999999999739e-02,-1.195999999999999952e+00,-1.349114512036737823e+00
-2.044999999999999596e-02,-1.655999999999999917e+00,-1.457558131636629950e+00
-2.039999999999999800e-02,-1.379999999999999893e+00,-1.570291456417228559e+00
-2.035000000000000003e-02,-1.839999999999999858e+00,-1.687872274631258662e+00
-2.029999999999999860e-02,-1.564000000000000057e+00,-1.810770679630234303e+00
-2.024999999999999717e-02,-2.116000000000000103e+00,-1.939167161313140708e+00
-2.019999999999999921e-02,-1.839999999999999858e+00,-2.072872222014065180e+00
-2.014999999999999777e-02,-2.391999999999999904e+00,-2.211366105111198799e+00
-2.009999999999999981e-02,-2.208000000000000185e+00,-2.353902485089869767e+00
-2.004999999999999838e-02,-2.668000000000000149e+00,-2.499680827321714371e+00
-1.999999999999999695e-02,-2.483999999999999986e+00,-2.647978343801876910e+00
-1.994999999999999898e-02,-3.036000000000000032e+00,-2.798191077999947929e+00
-1.989999999999999755e-02,-2.759999999999999787e+00,-2.949906901358130273e+00
-1.984999999999999959e-02,-3.219999999999999751e+00,-3.102900415031584647e+00
-1.979999999999999816e-02,-3.128000000000000114e+00,-3.256938213143276695e+00
-1.974999999999999672e-02,-3.588000000000000078e+00,-3.411687046167724446e+00
-1.969999999999999876e-02,-3.403999999999999915e+00,-3.566843411419423848e+00
-1.965000000000000080e-02,-3.863999999999999879e+00,-3.722197981073719131e+00
-1.959999999999999937e-02,-3.679999999999999716e+00,-3.877521881170602924e+00
-1.954999999999999793e-02,-4.232000000000000206e+00,-4.032451074567784843e+00
-1.949999999999999650e-02,-4.048000000000000043e+00,-4.186545307027542684e+00
-1.944999999999999854e-02,-4.508000000000000007e+00,-4.339467124750932214e+00
-1.940000000000000058e-02,-4.232000000000000206e+00,-4.490995201824922844e+00
-1.934999999999999915e-02,-4.783999999999999808e+00,-4.640759589753297831e+00
-1.929999999999999771e-02,-4.692000000000000171e+00,-4.788049597119308665e+00
-1.924999999999999628e-02,-5.152000000000000135e+00,-4.932046137498884875e+00
-1.919999999999999832e-02,-4.783999999999999808e+00,-5.072137378827009435e+00
-1.915000000000000036e-02,-5.427999999999999936e+00,-5.207803624517929109e+00
-1.909999999999999892e-02,-5.243999999999999773e+00,-5.338425310955118519e+00
-1.904999999999999749e-02,-5.612000000000000099e+00,-5.463483182020515194e+00
-1.899999999999999606e-02,-5.427999999999999936e+00,-5.582750860612836874e+00
-1.894999999999999810e-02,-5.796000000000000263e+00,-5.696136924200894569e+00
-1.890000000000000013e-02,-5.612000000000000099e+00,-5.803410989494393490e+00
-1.884999999999999870e-02,-6.163999999999999702e+00,-5.904105395097038134e+00
-1.879999999999999727e-02,-5.887999999999999901e+00,-5.997768869476483466e+00
-1.874999999999999584e-02,-6.256000000000000227e+00,-6.084344181085727499e+00
-1.869999999999999787e-02,-5.979999999999999538e+00,-6.164209546109152171e+00
-1.864999999999999991e-02,-6.439999999999999503e+00,-6.237942019552657591e+00
-1.859999999999999848e-02,-6.072000000000000064e+00,-6.306147403375189420e+00
-1.854999999999999705e-02,-6.532000000000000028e+00,-6.369351720923700277e+00
-1.849999999999999908e-02,-6.256000000000000227e+00,-6.427890849756999536e+00
-1.844999999999999765e-02,-6.623999999999999666e+00,-6.481909291467131240e+00
-1.839999999999999969e-02,-6.347999999999999865e+00,-6.531406846822670254e+00
-1.834999999999999826e-02,-6.716000000000000192e+00,-6.576215791052786308e+00
-1.829999999999999682e-02,-6.439999999999999503e+00,-6.615966524278658945e+00
-1.824999999999999886e-02,-6.807999999999999829e+00,-6.650101415772597058e+00
-1.820000000000000090e-02,-6.899999999999999467e+00,-6.678171924083215139e+00
-1.814999999999999947e-02,-6.532000000000000028e+00,-6.700423109214297845e+00
-1.809999999999999803e-02,-6.532000000000000028e+00,-6.717683520599990743e+00
-1.804999999999999660e-02,-6.899999999999999467e+00,-6.730442832666205355e+00
-1.799999999999999864e-02,-6.899999999999999467e+00,-6.738733560110381049e+00
-1.795000000000000068e-02,-6.532000000000000028e+00,-6.742928237095914490e+00
-1.789999999999999925e-02,-6.532000000000000028e+00,-6.743654119275038994e+00
-1.784999999999999781e-02,-6.899999999999999467e+00,-6.740822089239865811e+00
-1.779999999999999638e-02,-6.899999999999999467e+00,-6.733619800847999493e+00
-1.774999999999999842e-02,-6.532000000000000028e+00,-6.721469993639835216e+00
-1.770000000000000046e-02,-6.899999999999999467e+00,-6.704337301303631591e+00
