# [TIME],[VOLT],[VOLT filtered 1kHz] 
# 
-2.999999999999999889e-02,-6.899999999999999467e+00,-6.902954190780008936e+00
-2.994999999999999746e-02,-8.003999999999999559e+00,-7.245429369951600584e+00
-2.989999999999999949e-02,-7.727999999999999758e+00,-7.570033717658256833e+00
-2.984999999999999806e-02,-8.740000000000000213e+00,-7.863338362990202945e+00
-2.980000000000000010e-02,-8.279999999999999361e+00,-8.116727893792173631e+00
-2.974999999999999867e-02,-8.832000000000000739e+00,-8.326501010361367250e+00
-2.969999999999999724e-02,-8.464000000000000412e+00,-8.493133071474662898e+00
-2.964999999999999927e-02,-8.923999999999999488e+00,-8.620088635538337485e+00
-2.959999999999999784e-02,-8.464000000000000412e+00,-8.712705911446832374e+00
-2.954999999999999988e-02,-8.923999999999999488e+00,-8.777181728416067585e+00
-2.949999999999999845e-02,-8.832000000000000739e+00,-8.819897707786427787e+00
-2.945000000000000048e-02,-8.464000000000000412e+00,-8.847144388965046957e+00
-2.939999999999999905e-02,-8.923999999999999488e+00,-8.864544043903734405e+00
-2.934999999999999762e-02,-8.555999999999999162e+00,-8.876343219454557953e+00
-2.929999999999999966e-02,-8.555999999999999162e+00,-8.885042717501050902e+00
-2.924999999999999822e-02,-8.923999999999999488e+00,-8.891034853665711779e+00
-2.920000000000000026e-02,-8.555999999999999162e+00,-8.892571804808572011e+00
-2.914999999999999883e-02,-8.923999999999999488e+00,-8.886176973306412208e+00
-2.909999999999999740e-02,-8.555999999999999162e+00,-8.866878445741054549e+00
-2.904999999999999943e-02,-9.016000000000000014e+00,-8.828356212133048331e+00
-2.899999999999999800e-02,-8.923999999999999488e+00,-8.763573157380761813e+00
-2.895000000000000004e-02,-8.464000000000000412e+00,-8.665718811398935628e+00
-2.889999999999999861e-02,-8.832000000000000739e+00,-8.528548330459692295e+00
-2.885000000000000064e-02,-8.464000000000000412e+00,-8.346414965866307156e+00
-2.879999999999999921e-02,-8.740000000000000213e+00,-8.115100141047093985e+00
-2.874999999999999778e-02,-7.820000000000000284e+00,-7.833030914714704807e+00
-2.869999999999999982e-02,-8.003999999999999559e+00,-7.501763990049728825e+00
-2.864999999999999838e-02,-6.807999999999999829e+00,-7.125518229509903101e+00
-2.860000000000000042e-02,-7.083999999999999631e+00,-6.710205228591196835e+00
-2.854999999999999899e-02,-5.703999999999999737e+00,-6.262383239786588618e+00
-2.849999999999999756e-02,-6.072000000000000064e+00,-5.788311658184262853e+00
-2.844999999999999959e-02,-4.967999999999999972e+00,-5.293391983691378755e+00
-2.839999999999999816e-02,-5.059999999999999609e+00,-4.782282237639485345e+00
-2.835000000000000020e-02,-3.771999999999999797e+00,-4.259167041327343917e+00
-2.829999999999999877e-02,-3.955999999999999961e+00,-3.727556545661301346e+00
-2.824999999999999734e-02,-2.759999999999999787e+00,-3.189920265638860108e+00
-2.819999999999999937e-02,-2.943999999999999950e+00,-2.647643065257647699e+00
-2.814999999999999794e-02,-1.839999999999999858e+00,-2.101336523487477237e+00
-2.809999999999999998e-02,-1.931999999999999940e+00,-1.551374463540191817e+00
-2.804999999999999855e-02,-6.440000000000000169e-01,-9.983545063898746630e-01
-2.799999999999999711e-02,-7.359999999999999876e-01,-4.431324158787071643e-01
-2.794999999999999915e-02,4.599999999999999645e-01,1.134612344874451201e-01
-2.789999999999999772e-02,2.760000000000000231e-01,6.707663931679255231e-01
-2.784999999999999976e-02,1.564000000000000057e+00,1.228134912425390635e+00
-2.779999999999999832e-02,1.379999999999999893e+00,1.784706852703756175e+00
-2.774999999999999689e-02,2.576000000000000068e+00,2.339245073176404066e+00
-2.769999999999999893e-02,2.576000000000000068e+00,2.889979735457357091e+00
-2.764999999999999750e-02,3.771999999999999797e+00,3.434649525771783729e+00
-2.759999999999999953e-02,3.588000000000000078e+00,3.970757196818181622e+00
-2.754999999999999810e-02,4.783999999999999808e+00,4.495655890477141092e+00
-2.750000000000000014e-02,4.599999999999999645e+00,5.006375218756304868e+00
-2.744999999999999871e-02,5.796000000000000263e+00,5.499446044107111575e+00
-2.739999999999999727e-02,5.612000000000000099e+00,5.970870445909119972e+00
-2.734999999999999931e-02,6.716000000000000192e+00,6.416214073525491557e+00
-2.729999999999999788e-02,6.623999999999999666e+00,6.830802791357223569e+00
-2.724999999999999992e-02,7.543999999999999595e+00,7.210067246268348384e+00
-2.719999999999999848e-02,7.359999999999999432e+00,7.549907081819019261e+00
-2.715000000000000052e-02,8.279999999999999361e+00,7.846945370545917342e+00
-2.709999999999999909e-02,8.096000000000000085e+00,8.098886817682076966e+00
-2.704999999999999766e-02,8.740000000000000213e+00,8.305069771932068079e+00
-2.699999999999999969e-02,8.832000000000000739e+00,8.467116645643022466e+00
-2.694999999999999826e-02,8.371999999999999886e+00,8.589338980736037854e+00
-2.690000000000000030e-02,8.923999999999999488e+00,8.678126641092639204e+00
-2.684999999999999887e-02,8.464000000000000412e+00,8.740685827644782080e+00
-2.679999999999999744e-02,8.555999999999999162e+00,8.783993699412702583e+00
-2.674999999999999947e-02,8.923999999999999488e+00,8.813960207227715671e+00
-2.669999999999999804e-02,8.464000000000000412e+00,8.835136158050559629e+00
-2.665000000000000008e-02,8.923999999999999488e+00,8.850851652849581086e+00
-2.659999999999999865e-02,8.555999999999999162e+00,8.863159828324279843e+00
-2.654999999999999721e-02,8.923999999999999488e+00,8.872784109745786907e+00
-2.649999999999999925e-02,8.555999999999999162e+00,8.879164297370861547e+00
-2.644999999999999782e-02,8.923999999999999488e+00,8.880420400744876375e+00
-2.639999999999999986e-02,8.923999999999999488e+00,8.873529330577992980e+00
